Year,Date,User,Release,Score,Band
2002,2002.07.11.06:45,8,517380,82,21
2002,2002.07.14.09:19,8,46,88,14
2002,2002.07.15.00:23,20,133,90,39
2002,2002.07.16.03:43,21,2,87,4
2002,2002.07.16.22:38,14,21,70,3
2002,2002.07.18.19:15,73,119,100,27
2002,2002.07.20.01:26,15,130,85,38
2002,2002.07.20.15:23,96,779,85,187
2002,2002.07.20.18:14,96,1554,75,429
2002,2002.07.21.15:34,96,1792,85,449
2002,2002.07.21.19:13,94,177,82,4
2002,2002.07.21.21:36,94,152,95,44
2002,2002.07.22.02:04,96,1890,100,671
2002,2002.07.22.16:54,51,1986,90,601
2002,2002.07.23.02:00,15,149,50,44
2002,2002.07.23.15:58,105,269,93,79
2002,2002.07.24.04:35,105,420125,71,819
2002,2002.07.24.17:32,94,2,95,4
2002,2002.07.25.14:44,96,2450,75,731
2002,2002.07.25.14:44,112,453,90,32
2002,2002.07.25.14:44,112,594,65,83
2002,2002.07.25.14:45,96,2428,90,923
2002,2002.07.25.14:45,112,21,80,3
2002,2002.07.25.14:45,112,1225,90,25
2002,2002.07.26.02:07,9,83,75,26
2002,2002.07.26.11:08,112,2566,95,479
2002,2002.07.28.23:05,117,74,75,25
2002,2002.07.28.23:13,117,75,95,25
2002,2002.07.29.00:05,122,376,95,88
2002,2002.07.29.19:20,124,1337,62,163
2002,2002.07.29.19:21,124,777,70,140
2002,2002.07.29.19:42,124,954,91,203
2002,2002.07.29.19:44,124,586,80,137
2002,2002.07.29.21:42,124,2916,72,885
2002,2002.07.30.18:48,133,42,80,12
2002,2002.08.02.00:11,50,1337,78,163
2002,2002.08.02.18:54,145,3298,90,1162
2002,2002.08.02.18:57,31,2499,95,961
2002,2002.08.02.19:00,31,592,99,127
2002,2002.08.02.19:03,31,580,93,127
2002,2002.08.02.19:10,31,2593,90,976
2002,2002.08.02.19:17,31,2357,88,905
2002,2002.08.02.19:19,31,2360,98,905
2002,2002.08.02.19:25,31,3391,95,1090
2002,2002.08.02.19:26,31,207,99,72
2002,2002.08.02.22:25,147,868,76,208
2002,2002.08.02.23:08,112,213,85,74
2002,2002.08.03.01:30,112,2556,70,192
2002,2002.08.03.12:27,31,2453,100,950
2002,2002.08.03.12:29,31,2454,100,950
2002,2002.08.03.12:31,31,2618,88,981
2002,2002.08.03.12:35,31,1676,88,390
2002,2002.08.03.12:36,31,1680,88,390
2002,2002.08.03.12:37,31,1445,88,390
2002,2002.08.03.12:40,31,432,100,97
2002,2002.08.03.12:42,31,418084,91,915
2002,2002.08.03.13:00,147,2791,39,125
2002,2002.08.03.13:07,147,840,42,125
2002,2002.08.03.13:29,147,210,89,72
2002,2002.08.03.14:06,147,3486,82,685
2002,2002.08.03.16:35,147,322,90,78
2002,2002.08.03.16:41,147,1968,92,168
2002,2002.08.03.18:13,147,2737,68,706
2002,2002.08.03.18:22,147,1576,90,271
2002,2002.08.03.21:02,147,436,100,97
2002,2002.08.03.21:14,147,598,79,141
2002,2002.08.03.21:23,148,1176,100,255
2002,2002.08.03.21:24,147,1371,97,373
2002,2002.08.03.21:46,147,1412,90,378
2002,2002.08.03.21:54,122,1678,75,390
2002,2002.08.03.22:11,147,80,99,25
2002,2002.08.03.22:23,147,3479,73,168
2002,2002.08.03.22:58,148,2418,80,232
2002,2002.08.03.23:12,148,2419,85,232
2002,2002.08.03.23:28,148,742,80,178
2002,2002.08.03.23:49,148,744,95,178
2002,2002.08.03.23:50,31,2405,75,922
2002,2002.08.04.00:01,31,3629,91,537
2002,2002.08.04.00:02,31,1841,89,169
2002,2002.08.04.00:04,31,473489,92,416
2002,2002.08.04.00:15,31,3635,81,99
2002,2002.08.04.00:17,31,2813,89,509
2002,2002.08.04.00:18,31,2814,90,509
2002,2002.08.04.00:19,31,2815,84,509
2002,2002.08.04.05:00,122,3086,93,1133
2002,2002.08.04.06:01,148,746,94,178
2002,2002.08.04.19:39,148,1068,92,255
2002,2002.08.05.00:00,154,3723,90,1279
2002,2002.08.05.03:55,96,3769,100,635
2002,2002.08.05.05:49,148,1185,91,255
2002,2002.08.05.12:24,96,3786,70,949
2002,2002.08.05.12:35,96,3788,52,413
2002,2002.08.05.12:56,31,2616,86,564
2002,2002.08.05.12:57,31,2617,86,564
2002,2002.08.05.13:00,31,618,88,141
2002,2002.08.05.13:02,31,2059,50,755
2002,2002.08.05.13:03,31,738,90,173
2002,2002.08.05.13:05,31,2561,95,964
2002,2002.08.05.13:08,31,174,90,4
2002,2002.08.05.13:09,31,239,87,75
2002,2002.08.05.13:10,31,434,98,97
2002,2002.08.05.13:12,31,2819,87,97
2002,2002.08.05.13:14,96,2037,100,492
2002,2002.08.05.13:15,31,2944,85,386
2002,2002.08.05.13:17,31,748,99,182
2002,2002.08.05.13:18,31,745,98,182
2002,2002.08.05.13:30,51,2724,75,1031
2002,2002.08.05.20:41,165,469,89,112
2002,2002.08.05.23:12,148,3778,85,255
2002,2002.08.06.05:35,148,1180,85,255
2002,2002.08.06.05:50,148,1181,80,255
2002,2002.08.06.17:47,165,259,91,70
2002,2002.08.06.18:46,148,1182,90,255
2002,2002.08.06.19:06,148,1184,85,255
2002,2002.08.07.12:12,147,3861,80,1336
2002,2002.08.07.12:34,147,434,90,97
2002,2002.08.07.13:09,147,2819,68,97
2002,2002.08.07.13:12,147,431,77,97
2002,2002.08.07.13:17,147,2148,59,97
2002,2002.08.07.13:23,147,2729,66,97
2002,2002.08.07.13:28,147,435,70,97
2002,2002.08.07.13:34,147,432,88,97
2002,2002.08.07.13:49,147,2971,93,98
2002,2002.08.07.14:08,147,538,80,125
2002,2002.08.07.14:54,147,1366,30,37
2002,2002.08.07.15:01,147,1365,97,371
2002,2002.08.08.16:54,147,809,93,157
2002,2002.08.08.17:01,147,417586,86,155
2002,2002.08.08.17:18,147,2585,77,419
2002,2002.08.08.17:25,147,676,92,159
2002,2002.08.08.17:31,147,3431,92,1188
2002,2002.08.08.17:39,147,865,82,208
2002,2002.08.08.17:46,147,2066,88,401
2002,2002.08.08.17:52,147,3408,99,604
2002,2002.08.08.17:57,147,2764,91,105
2002,2002.08.08.18:51,148,152,80,44
2002,2002.08.08.19:33,117,76,90,25
2002,2002.08.09.05:25,164,155,85,48
2002,2002.08.09.13:44,31,2497,79,961
2002,2002.08.09.13:45,31,2491,99,960
2002,2002.08.09.13:49,31,179737,94,1139
2002,2002.08.09.13:50,31,1845,93,443
2002,2002.08.09.13:52,31,2219,92,443
